Data,Dinheiro,PIX,Master,Visa,Elo,Master.1,Visa.1,Elo.1,AmEx,Diners,Master.2,Visa.2,Elo.2,AmEx.1,Diners.1,Master.3,Visa.3,Elo.3,AmEx.2,Diners.2,Total,Unnamed: 22,Data.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Total.1,Unnamed: 45,Taxas de Cartões,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Total_do_Dia,Total_Dinheiro,Total_PIX,Total_Debito,Total_Credito_1x,Total_Credito_2x,Total_Credito_3x,Total_Credito,Mes_Ano
2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-01-12,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Pró-Labore,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01
2025-01-13,0.0,50.0,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0,0.0,89.9,0.0,0,0,0.0,0.0,0.0,0,0,209.8,0.0,2025-01-13,549.0,Sacolas,10.0,Fretes,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,559.0,0.0,DARF,0.0,0,0.0,0,0.0,0,0.0,209.8,0.0,50.0,0.0,69.9,89.9,0.0,159.8,2025-01
2025-01-14,0.0,69.9,0.0,0.0,0.0,69.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,139.8,0.0,2025-01-14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Simples Nacional,0.0,0,0.0,0,0.0,0,0.0,139.8,0.0,69.9,0.0,69.9,0.0,0.0,69.9,2025-01
2025-01-15,0.0,473.02,159.8,69.9,0.0,289.6,119.9,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1082.22,0.0,2025-01-15,1000.0,Dívida Rosstamp,500.0,Dívida Fan Store,1499.4,Mercadorias,10.0,Fretes,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3009.4,0.0,Contabilidade,0.0,0,0.0,0,0.0,0,0.0,1112.22,0.0,473.02,229.70000000000002,409.5,0.0,0.0,409.5,2025-01
2025-01-16,0.0,179.9,59.9,0.0,0.0,59.9,69.9,0.0,0.0,0,0.0,189.8,0.0,0,0,0.0,0.0,0.0,0,0,559.4000000000001,0.0,2025-01-16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Água ,0.0,0,0.0,0,0.0,0,0.0,559.4000000000001,0.0,179.9,59.9,129.8,189.8,0.0,319.6,2025-01
2025-01-17,0.0,0.0,0.0,0.0,0.0,209.8,10.0,0.0,0.0,0,169.8,139.9,0.0,0,0,539.5,0.0,0.0,0,0,1069.0,0.0,2025-01-17,20.36,Água ,328.3,Luz,155.32,DARF,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,503.98,0.0,Luz,0.0,0,0.0,0,0.0,0,0.0,1069.0,0.0,0.0,0.0,219.8,309.70000000000005,539.5,1069.0,2025-01
2025-01-18,0.0,175.8,0.0,0.0,0.0,79.9,139.7,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,209.8,0.0,0,0,605.2,0.0,2025-01-18,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,Internet,0.0,0,0.0,0,0.0,0,0.0,605.2,0.0,175.8,0.0,219.6,0.0,209.8,429.4,2025-01
2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,2025-01-19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,EMIVE,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01
2025-01-20,169.8,0.0,75.0,0.0,0.0,79.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,324.70000000000005,0.0,2025-01-05,1450.21,Simples Nacional,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1450.21,0.0,Consignado,0.0,0,0.0,0,0.0,0,0.0,324.70000000000005,169.8,0.0,75.0,79.9,0.0,0.0,79.9,2025-01
2025-01-21,0.0,139.9,0.0,79.9,0.0,79.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,299.70000000000005,0.0,2025-01-21,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,PRONAMP,0.0,0,0.0,0,0.0,0,0.0,299.70000000000005,0.0,139.9,79.9,79.9,0.0,0.0,79.9,2025-01
